Player,FNameInit,Team,Value,Start,Sub,Goals,Penalty Missed,Key Contributions,Clean Sheet Full, Clean Sheet Part,Goal Conceded, Penalty Save,Red Card,Yellow Card,Own Goal, Points Per Value,Total Points
 Anita, V,NEW,3.3m,22,4,1,0,4,-,-,-,-,0,6,0,17.9,59
 Mbemba, C,NEW,3.3m,31,0,0,0,1,5,0,53,-,0,4,0,17.9,59
 Davies, B,TOT,3.1m,15,2,0,0,2,6,2,11,-,0,4,1,19.0,59
 Rashford, M,MUN,2.9m,11,0,5,0,4,-,-,-,-,0,0,0,20.3,59
 Valencia, E,WHM,4.5m,13,7,4,0,2,-,-,-,-,0,1,0,12.9,58
 Henderson, J,LIV,4.4m,15,1,2,0,6,-,-,-,-,0,1,0,13.2,58
 Gil, C,AVL,3.3m,19,7,2,0,2,-,-,-,-,0,3,0,17.6,58
 Howard, T,EVE,3.3m,23,0,0,0,0,6,0,34,0,0,1,0,17.6,58
 Moses, V,WHM,3.3m,14,8,2,0,4,-,-,-,-,0,0,0,17.6,58
 Lescott, J,AVL,3.1m,29,0,3,0,0,4,1,57,-,0,2,0,18.7,58
 Janmaat, D,NEW,3.0m,32,0,1,0,3,4,0,60,-,1,5,0,19.3,58
 Yacob, C,WBA,3.0m,32,1,0,0,1,-,-,-,-,0,10,0,19.3,58
 Martin, R,NOR,2.4m,27,0,3,0,1,4,0,49,-,1,5,0,24.2,58
 Zabaleta, P,MCY,4.4m,14,1,0,0,3,6,1,17,-,0,4,0,13.0,57
 Coloccini, F,NEW,3.0m,27,0,1,0,2,5,1,47,-,1,1,1,19.0,57
 Stanislas, J,BOU,3.0m,17,3,3,0,2,-,-,-,-,0,1,0,19.0,57
 Stekelenburg, M,SOT,3.0m,18,0,0,0,0,6,0,21,0,0,0,0,19.0,57
 Yoshida, M,SOT,2.9m,11,10,1,0,0,4,6,19,-,0,0,0,19.7,57
 Cahill, G,CHE,4.6m,21,2,2,0,1,3,0,35,-,0,1,0,12.2,56
 Forster, F,SOT,3.2m,15,0,0,0,0,6,0,13,0,0,0,0,17.5,56
 Bacuna, L,AVL,3.0m,26,4,1,0,1,-,-,-,-,0,8,0,18.7,56
 Lens, J,SUN,3.4m,14,6,3,0,4,-,-,-,-,1,3,0,16.2,55
 Kaboul, Y,SUN,2.5m,19,1,0,0,2,7,0,28,-,1,2,0,22.0,55
 Chambers, C,ARS,3.2m,7,10,1,0,0,4,7,8,-,0,3,0,16.9,54
 Wimmer, K,TOT,2.8m,13,1,0,0,2,5,1,10,-,0,2,0,19.3,54
 Dummett, P,NEW,2.5m,21,0,1,0,0,4,0,28,-,0,2,0,21.6,54
 Fellaini, M,MUN,4.6m,16,6,3,0,1,-,-,-,-,0,3,0,11.5,53
 Naismith, S,NOR,4.3m,13,7,4,0,1,-,-,-,-,0,3,0,12.3,53
 Ox-Chamberlain, A,ARS,3.9m,11,14,1,0,4,-,-,-,-,0,0,0,13.6,53
 Brunt, C,WBA,3.5m,23,2,0,0,4,-,-,-,-,0,7,0,15.1,53
 Richards, M,AVL,3.1m,26,0,2,0,1,5,0,55,-,0,3,0,17.1,53
 Jurado, J,WAT,2.9m,25,1,0,0,2,-,-,-,-,0,4,0,18.3,53
 Yedlin, D,SUN,2.3m,18,2,0,0,1,5,2,24,-,0,2,0,23.0,53
 Origi, D,LIV,5.1m,7,10,5,0,1,-,-,-,-,0,0,0,10.2,52
 Shawcross, R,STO,3.4m,18,0,0,0,0,7,2,23,-,1,2,0,15.3,52
 Coquelin, F,ARS,3.6m,22,3,0,0,4,-,-,-,-,1,5,0,14.2,51
 Wanyama, V,SOT,3.6m,26,1,1,0,2,-,-,-,-,3,4,0,14.2,51
 Ibe, J,LIV,3.4m,12,15,0,0,4,-,-,-,-,0,0,0,15.0,51
 Sung-Yueng, K,SWA,3.3m,20,7,1,0,1,-,-,-,-,0,4,0,15.5,51
 Cattermole, L,SUN,3.0m,25,4,0,0,1,-,-,-,-,0,6,0,17.0,51
 Schlupp, J,LEI,2.7m,13,8,1,0,2,2,8,21,-,0,4,0,18.9,51
 Bassong, S,NOR,3.0m,29,1,1,0,0,4,0,56,-,0,4,0,16.7,50
 Rangel, A,SWA,2.9m,18,2,0,0,2,6,1,27,-,0,5,0,17.2,50
